kdpsttbpst,kdjentbpst,nmpsttbpst,kdbiltbpst,kdgrutbpst,kdasntbpst,nomortbpst
41133,B,TEKNOLOGI HASIL PERKEBUNAN,B,,A,
41201,C,TEKNIK PERTANIAN,B,,A,198
41211,C,TEKNOLOGI INDUSTRI PERTANIAN,B,,A,202
41221,C,TEKNOLOGI PANGAN,B,,A,206
41231,C,TEKNOLOGI HASIL PERTANIAN,B,,A,
41234,C,TEKNOLOGI PENGOLAHAN HASIL PERIKANAN,B,,A,
41311,D,TEKNOLOGI INDUSTRI PERTANIAN,B,,A,
41331,D,TEKNOLOGI PRODUKSI PERTANIAN,B,,A,
41333,D,TEKNOLOGI PENGOLAHAN HASIL PERKEBUNAN,B,,A,
41401,E,MESIN DAN PERALATAN PERTANIAN,B,,A,199
41402,E,TATA AIR PERTANIAN,B,,A,
41411,E,TEKNOLOGI INDUSTRI PERTANIAN,B,,A,203
41421,E,TEKNOLOGI PANGAN,B,,A,207
41431,E,TEKNOLOGI PRODUKSI PERTANIAN,B,,A,
41432,E,TEKNOLOGI PRODUKSI HORTIKULTURA,B,,A,
41433,E,TEKNOLOGI PRODUKSI PERKEBUNAN,B,,A,
41434,E,TEKNOLOGI PRODUKSI PERIKANAN,B,,A,
44001,A,ILMU MATEMATIKA DAN ILMU PENGETAHUAN ALAM,C,,A,209
44002,A,ILMU MATEMATIKA,C,,A,210
44101,B,MATEMATIKA,C,,A,211
44201,C,MATEMATIKA,C,,A,212
44401,E,MATEMATIKA,C,,A,213
44601,G,MATEMATIKA,C,,A,
45001,A,ILMU FISIKA,C,,A,214
45101,B,FISIKA,C,,A,215
45201,C,FISIKA,C,,A,216
45401,E,FISIKA,C,,A,217
46001,A,ILMU BIOLOGI,C,,A,218
46101,B,BIOLOGI,C,,A,219
46201,C,BIOLOGI,C,,A,220
46202,C,MIKROBIOLOGI,C,,A,
46401,E,BIOLOGI,C,,A,221
46601,G,LINGKUNGAN,C,,S,
47001,A,ILMU KIMIA,C,,A,222
47101,B,KIMIA,C,,A,223
47201,C,KIMIA,C,,A,224
47401,E,KIMIA,C,,A,225
48001,A,ILMU FARMASI,C,,A,226
48101,B,FARMASI,C,,A,227
48201,C,FARMASI,C,,A,228
48202,C,FARMASI KLINIK DAN KOMUNITAS,C,,A,
48401,E,FARMASI,C,,A,229
48402,E,ANALIS FARMASI DAN MAKANAN,C,,A,230
48701,H,FARMASI,C,,A,
48901,J,PROFESI APOTEKER,C,,A,
49001,A,ILMU STATISTIK,C,,A,231
49101,B,STATISTIKA,C,,A,232
49201,C,STATISTIKA,C,,A,233
49401,E,STATISTIKA,C,,A,234
50001,A,ILMU ASTRONOMI,C,,A,235
50101,B,ASTRONOMI,C,,A,236
50201,C,ASTRONOMI,C,,A,237
51001,A,ILMU GEOGRAFI,C,,A,238
51101,B,GEOGRAFI,C,,A,239
51111,B,PENGINDERAAN JAUH,C,,A,
51201,C,GEOGRAFI,C,,A,240
51211,C,KARTOGRAFI DAN PENGINDERAAN JAUH,C,,A,
51401,E,GEOGRAFI,C,,A,241
51411,E,PENGINDERAAN JAUH DAN SIG,C,,A,
54001,A,ILMU PERTANIAN,D,,A,242
54002,A,ILMU EKONOMI PERTANIAN,D,,A,
54003,A,PENYULUHAN DAN KOMUNIKASI PEMBANGUNAN PERTANIAN,D,,A,
54004,A,AGRONOMI,D,,A,
54005,A,ILMU TANAH,D,,A,
54010,A,AGROKLIMATOLOGI,D,,A,
54031,A,ILMU TERNAK,P,,A,257
54032,A,BIOLOGI REPRODUKSI,P,,A,
54041,A,ILMU KELAUTAN,O,,A,260
